# US keyboard to Swiss French, the other direction. For a Latin wordlist whose password was typed with
# the Swiss French layout active.
#
#   hashcat -m 0 -a 8 hashes.txt table words.txt tables/layouts/ch_fr-reverse.table identity=0
#
# identity=0 is what makes it a conversion. Leaving a token as it was is one of its choices
# by default, so without it a word of n covered characters is worth 2^n candidates, every
# mixture of converted and not, rather than the one conversion.
#
# One rule to a line: the source token, a tab, then what to put in its place. Blank lines and lines
# beginning with # are skipped, and a token that would otherwise be read as a comment is written as
# $HEX[..].
#
# Keys that produce the same character in both layouts are left out. They are what the mapping does
# not change, and listing them says nothing.

`	§
-	'
=	^
y	z
[	è
]	¨
;	é
'	à
\	$
\	<
z	y
/	-
~	°
!	+
@	"
$HEX[23]	*
$	ç
^	&
&	/
*	(
(	)
)	=
_	?
+	`
Y	Z
{	ü
}	!
:	ö
"	ä
|	£
|	>
Z	Y
<	;
>	:
?	_
