# US keyboard to Russian, the other direction. For a Latin wordlist whose password was typed with
# the Russian layout active.
#
#   hashcat -m 0 -a 8 hashes.txt table words.txt tables/layouts/ru-reverse.table identity=0
#
# identity=0 is what makes it a conversion. Leaving a token as it was is one of its choices
# by default, so without it a word of n covered characters is worth 2^n candidates, every
# mixture of converted and not, rather than the one conversion.
#
# One rule to a line: the source token, a tab, then what to put in its place. Blank lines and lines
# beginning with # are skipped, and a token that would otherwise be read as a comment is written as
# $HEX[..].
#
# Keys that produce the same character in both layouts are left out. They are what the mapping does
# not change, and listing them says nothing.

`	ё
q	й
w	ц
e	у
r	к
t	е
y	н
u	г
i	ш
o	щ
p	з
[	х
]	ъ
a	ф
s	ы
d	в
f	а
g	п
h	р
j	о
k	л
l	д
;	ж
'	э
z	я
x	ч
c	с
v	м
b	и
n	т
m	ь
,	б
.	ю
/	.
~	Ё
@	"
$HEX[23]	№
$	;
^	:
&	?
Q	Й
W	Ц
E	У
R	К
T	Е
Y	Н
U	Г
I	Ш
O	Щ
P	З
{	Х
}	Ъ
A	Ф
S	Ы
D	В
F	А
G	П
H	Р
J	О
K	Л
L	Д
:	Ж
"	Э
|	/
Z	Я
X	Ч
C	С
V	М
B	И
N	Т
M	Ь
<	Б
>	Ю
?	,
