# Swedish keyboard to US. This is the direction --keyboard-layout-mapping takes:
#
#   hashcat -m 13721 hashes.txt --keyboard-layout-mapping tables/layouts/se.table ...
#
# It is also a table for attack mode 8, which brings layout conversion to every hash mode rather than
# only to TrueCrypt and VeraCrypt. Use identity=0 with it: leaving a token as it was is one of its
# choices by default, and for a conversion that is not wanted. With identity=0 every match is
# converted and a word is worth one candidate.
#
#   hashcat -m 0 -a 8 hashes.txt table words.txt tables/layouts/se.table identity=0
#
# Without identity=0 a word of n covered characters is worth 2^n candidates, every mixture of
# converted and not. That is a different attack, and the one to use for a password you think was only
# partly typed in the other layout.
#
# One rule to a line: the source token, a tab, then what to put in its place. Blank lines and lines
# beginning with # are skipped, and a token that would otherwise be read as a comment is written as
# $HEX[..].
#
# Keys that produce the same character in both layouts are left out. They are what the mapping does
# not change, and listing them says nothing.

§	`
+	-
´	=
å	[
¨	]
ö	;
ä	'
'	\
-	/
½	~
"	@
¤	$
&	^
/	&
(	*
)	(
=	)
?	_
`	+
Å	{
^	}
Ö	:
Ä	"
*	|
;	<
:	>
_	?
