# Case toggling. A letter may keep its case or swap it, in both directions.
#
# Latin, Greek and Cyrillic, which between them cover the common bicameral languages: English,
# German, French, Spanish, Portuguese, Italian, Dutch, Polish, Czech, Hungarian, Romanian, Turkish,
# Swedish, Danish, Norwegian, Greek, Russian and Ukrainian among others. The pairs are derived from
# Unicode rather than written out by hand, so nothing is missed or mistyped.
#
# Both sides are multibyte where the letter is. The German sharp s carries both of its uppercase
# spellings, the traditional SS and the capital form, and the Turkish dotted and dotless i and the
# Greek final sigma are given the pairs their languages use rather than the ones default casing
# would produce.
#
# One rule to a line: the source token, a tab, then what to put in its place. Leaving a letter as it
# was is always one of the choices, so there are no rules here mapping a letter to itself. A table
# that converts rather than varies is run with identity=0 instead.

A	a
B	b
C	c
D	d
E	e
F	f
G	g
H	h
I	i
J	j
K	k
L	l
M	m
N	n
O	o
P	p
Q	q
R	r
S	s
T	t
U	u
V	v
W	w
X	x
Y	y
Z	z
a	A
b	B
c	C
d	D
e	E
f	F
g	G
h	H
i	I
j	J
k	K
l	L
m	M
n	N
o	O
p	P
q	Q
r	R
s	S
t	T
u	U
v	V
w	W
x	X
y	Y
z	Z
À	à
Á	á
Â	â
Ã	ã
Ä	ä
Å	å
Æ	æ
Ç	ç
È	è
É	é
Ê	ê
Ë	ë
Ì	ì
Í	í
Î	î
Ï	ï
Ð	ð
Ñ	ñ
Ò	ò
Ó	ó
Ô	ô
Õ	õ
Ö	ö
Ø	ø
Ù	ù
Ú	ú
Û	û
Ü	ü
Ý	ý
Þ	þ
à	À
á	Á
â	Â
ã	Ã
ä	Ä
å	Å
æ	Æ
ç	Ç
è	È
é	É
ê	Ê
ë	Ë
ì	Ì
í	Í
î	Î
ï	Ï
ð	Ð
ñ	Ñ
ò	Ò
ó	Ó
ô	Ô
õ	Õ
ö	Ö
ø	Ø
ù	Ù
ú	Ú
û	Û
ü	Ü
ý	Ý
þ	Þ
ÿ	Ÿ
Ā	ā
ā	Ā
Ă	ă
ă	Ă
Ą	ą
ą	Ą
Ć	ć
ć	Ć
Ĉ	ĉ
ĉ	Ĉ
Ċ	ċ
ċ	Ċ
Č	č
č	Č
Ď	ď
ď	Ď
Đ	đ
đ	Đ
Ē	ē
ē	Ē
Ĕ	ĕ
ĕ	Ĕ
Ė	ė
ė	Ė
Ę	ę
ę	Ę
Ě	ě
ě	Ě
Ĝ	ĝ
ĝ	Ĝ
Ğ	ğ
ğ	Ğ
Ġ	ġ
ġ	Ġ
